unit,bulls,cows,calves,total_harvest,total_hunters,percent_success,total_rec_days,year
2,6,0,0,6,8,75,122,2006
201,5,0,0,5,6,83,57,2006
3,5,0,0,5,96,5,860,2006
301,0,0,0,0,46,0,301,2006
4,65,25,0,90,406,22,2832,2006
441,14,6,0,20,121,17,745,2006
5,33,15,0,48,172,28,1242,2006
6,25,15,0,40,323,12,2100,2006
7,32,16,0,48,412,12,2943,2006
8,20,0,0,20,279,7,2314,2006
9,0,0,0,0,59,0,346,2006
10,1,0,0,1,17,6,224,2006
11,0,0,0,0,137,0,756,2006
211,41,15,0,56,241,23,1438,2006
12,74,5,0,79,577,14,4274,2006
13,35,0,0,35,151,23,869,2006
131,40,5,0,45,212,21,1158,2006
231,31,10,0,41,425,10,2827,2006
14,56,25,0,81,557,15,4050,2006
214,81,15,5,101,419,24,2669,2006
15,71,30,5,106,801,13,5902,2006
16,20,0,0,20,278,7,1706,2006
161,31,10,0,41,456,9,3433,2006
17,5,10,0,15,334,4,2563,2006
171,15,0,0,15,212,7,1508,2006
18,30,15,0,45,781,6,5313,2006
181,0,0,0,0,172,0,1015,2006
19,10,0,0,10,425,2,3539,2006
191,6,6,0,12,87,14,890,2006
20,51,4,0,55,199,28,1499,2006
21,40,30,0,70,517,14,3785,2006
22,46,5,0,51,340,15,2201,2006
23,25,35,5,65,413,16,2830,2006
24,119,20,0,139,662,21,4961,2006
25,15,20,0,35,346,10,2317,2006
26,25,5,0,30,288,10,1789,2006
27,35,10,5,50,363,14,2238,2006
28,35,20,0,55,608,9,4673,2006
29,4,2,0,6,35,17,266,2006
30,5,0,0,5,192,3,1224,2006
31,10,10,0,20,183,11,1274,2006
32,41,5,0,46,299,15,1699,2006
33,81,0,0,81,455,18,3698,2006
34,15,0,0,15,207,7,1324,2006
35,15,5,5,25,252,10,1986,2006
36,20,10,5,35,571,6,3830,2006
37,30,10,0,40,442,9,3194,2006
371,5,10,0,15,240,6,1632,2006
38,20,10,0,30,441,7,3213,2006
39,39,8,0,47,122,39,1275,2006
391,2,0,0,2,41,5,382,2006
40,15,0,0,15,98,15,872,2006
41,10,20,0,30,307,10,2107,2006
411,0,10,0,10,161,6,1232,2006
42,66,15,5,86,732,12,5843,2006
421,61,15,10,86,677,13,4970,2006
43,107,10,5,122,718,17,4831,2006
44,25,20,5,50,450,11,3184,2006
444,41,10,0,51,308,17,2258,2006
45,25,10,5,40,468,9,3493,2006
46,5,2,0,7,73,10,616,2006
461,13,0,0,13,55,24,605,2006
47,10,5,0,15,142,11,1107,2006
471,15,15,0,30,76,39,404,2006
48,41,0,0,41,176,23,1683,2006
481,18,0,0,18,110,16,1104,2006
49,22,4,0,26,179,15,1765,2006
50,2,5,0,7,116,6,1012,2006
500,17,2,0,19,116,16,1103,2006
501,10,0,0,10,85,12,764,2006
51,10,0,0,10,82,12,866,2006
511,15,10,0,25,469,5,4235,2006
52,26,5,0,31,259,12,2076,2006
521,71,46,5,122,601,20,4949,2006
53,56,36,0,92,577,16,4139,2006
54,31,15,0,46,646,7,4470,2006
55,61,56,5,122,1137,11,8199,2006
551,20,5,5,30,357,8,2980,2006
56,8,0,0,8,129,6,1372,2006
561,14,0,0,14,85,16,676,2006
57,5,2,0,7,82,9,501,2006
58,10,4,0,14,76,18,606,2006
581,5,5,5,15,144,10,1025,2006
59,10,10,0,20,205,10,1476,2006
591,5,0,0,5,129,4,1068,2006
60,10,0,0,10,96,10,657,2006
61,41,2,0,43,128,34,1302,2006
62,153,81,0,234,1829,13,14257,2006
63,0,10,0,10,276,4,2294,2006
64,15,5,0,20,198,10,1123,2006
65,35,10,5,50,688,7,4652,2006
66,31,7,0,38,248,15,1817,2006
67,10,0,0,10,100,10,729,2006
68,20,10,0,30,318,9,2297,2006
681,20,15,5,40,261,15,2163,2006
682,0,0,0,0,5,0,10,2006
69,11,3,0,14,96,15,926,2006
691,0,0,0,0,55,0,325,2006
70,92,25,10,127,824,15,6371,2006
71,77,81,5,163,1002,16,7936,2006
711,15,10,5,30,369,8,2822,2006
72,5,0,0,5,110,5,922,2006
73,15,10,0,25,216,12,1933,2006
74,71,25,5,101,646,16,4526,2006
741,15,10,0,25,96,26,582,2006
75,36,15,0,51,521,10,4019,2006
751,15,20,0,35,257,14,2035,2006
76,63,4,0,67,232,29,1933,2006
77,61,10,0,71,548,13,4041,2006
771,5,0,0,5,46,11,268,2006
78,51,25,5,81,592,14,4567,2006
79,20,0,5,25,217,12,1583,2006
791,0,0,0,0,10,0,60,2006
80,45,20,10,75,742,10,5948,2006
81,66,25,5,96,771,12,5784,2006
82,20,0,0,20,232,9,1507,2006
83,5,0,0,5,106,5,817,2006
84,5,0,0,5,69,7,615,2006
85,26,10,0,36,428,8,3596,2006
851,12,5,0,17,67,25,483,2006
86,25,15,0,40,372,11,2903,2006
861,15,0,0,15,71,21,443,2006
87,0,0,0,0,5,0,41,2006
88,0,0,0,0,5,0,36,2006
94,0,0,0,0,5,0,10,2006
951,0,0,0,0,10,0,36,2006
101,0,0,0,0,21,0,123,2006
103,0,0,0,0,5,0,26,2006
104,0,0,0,0,15,0,124,2006
106,2,0,0,2,12,17,85,2006
107,0,0,0,0,41,0,235,2006
109,0,0,0,0,5,0,36,2006
110,0,0,0,0,5,0,5,2006
112,0,0,0,0,10,0,46,2006
114,0,0,0,0,10,0,66,2006
116,0,0,0,0,10,0,56,2006
118,0,0,0,0,5,0,15,2006
119,0,0,0,0,5,0,31,2006
120,0,0,0,0,5,0,70,2006
121,0,0,5,5,5,100,62,2006
128,0,0,0,0,31,0,233,2006
129,0,0,0,0,5,0,20,2006
133,0,0,0,0,10,0,76,2006
135,0,0,0,0,5,0,31,2006
140,0,0,0,0,86,0,529,2006
141,5,0,0,5,10,50,36,2006
142,5,0,0,5,10,50,25,2006
147,0,0,0,0,5,0,36,2006
2,3,0,0,3,6,50,108,2007
201,8,0,0,8,8,100,92,2007
3,8,0,0,8,115,7,797,2007
301,8,0,0,8,35,23,204,2007
4,42,27,0,69,376,18,2259,2007
441,27,8,0,35,110,32,600,2007
5,19,23,0,42,156,27,1045,2007
6,8,9,8,25,278,9,1874,2007
7,6,12,0,18,510,4,3990,2007
8,39,0,0,39,294,13,2238,2007
9,4,0,0,4,41,10,251,2007
10,8,0,0,8,14,57,99,2007
11,21,4,0,25,132,19,819,2007
211,93,25,0,118,269,44,1860,2007
12,154,43,4,201,615,33,4018,2007
13,36,20,0,56,197,28,1359,2007
131,25,17,0,42,270,16,1694,2007
231,13,12,0,25,433,6,3263,2007
14,91,25,8,124,684,18,5266,2007
214,61,29,4,94,368,26,2234,2007
15,72,0,4,76,651,12,5059,2007
16,25,0,0,25,367,7,2804,2007
161,29,12,0,41,366,11,2815,2007
17,17,16,0,33,347,10,2477,2007
171,20,13,0,33,268,12,1582,2007
18,43,9,0,52,632,8,4820,2007
181,4,4,0,8,116,7,827,2007
19,0,10,0,10,417,2,2938,2007
191,12,0,0,12,107,11,604,2007
20,43,12,0,55,183,30,1593,2007
21,79,21,12,112,508,22,4182,2007
22,38,13,0,51,348,15,2697,2007
23,105,25,0,130,460,28,3490,2007
24,78,4,0,82,493,17,3127,2007
25,29,4,0,33,284,12,1944,2007
26,36,9,0,45,257,18,1731,2007
27,12,0,0,12,212,6,1558,2007
28,30,26,0,56,517,11,3882,2007
29,5,0,0,5,37,14,363,2007
30,0,0,0,0,202,0,1402,2007
31,12,4,0,16,200,8,1213,2007
32,36,12,4,52,304,17,1824,2007
33,74,8,8,90,618,15,4680,2007
34,26,13,0,39,243,16,1587,2007
35,21,4,4,29,325,9,2180,2007
36,38,12,0,50,568,9,3906,2007
37,31,4,4,39,421,9,2888,2007
371,13,0,0,13,130,10,583,2007
38,13,13,0,26,339,8,2283,2007
39,29,10,0,39,118,33,1101,2007
391,8,0,0,8,30,27,350,2007
40,20,0,0,20,85,24,822,2007
41,12,21,0,33,250,13,1529,2007
411,13,8,0,21,149,14,932,2007
42,73,24,8,105,692,15,4647,2007
421,29,29,8,66,583,11,4302,2007
43,68,12,0,80,639,13,4535,2007
44,25,4,0,29,377,8,2345,2007
444,25,17,4,46,369,12,2570,2007
45,17,4,0,21,446,5,3377,2007
46,6,0,0,6,65,9,497,2007
461,13,4,0,17,78,22,677,2007
47,25,0,0,25,149,17,848,2007
471,9,4,0,13,89,15,512,2007
48,18,8,0,26,139,19,1244,2007
481,5,0,0,5,103,5,856,2007
49,39,10,7,56,188,30,1824,2007
50,4,0,0,4,97,4,822,2007
500,24,0,0,24,120,20,1069,2007
501,12,0,0,12,92,13,791,2007
51,12,0,0,12,74,16,781,2007
511,13,9,4,26,413,6,3261,2007
52,4,13,0,17,271,6,1862,2007
521,52,58,4,114,612,19,4830,2007
53,61,21,8,90,527,17,3658,2007
54,44,30,4,78,787,10,5227,2007
55,78,29,4,111,947,12,6864,2007
551,12,4,0,16,308,5,2077,2007
56,5,0,0,5,120,4,997,2007
561,5,4,0,9,95,9,796,2007
57,14,0,0,14,66,21,678,2007
58,17,4,0,21,86,24,673,2007
581,4,0,0,4,162,2,1094,2007
59,8,4,0,12,191,6,1562,2007
591,4,4,0,8,101,8,848,2007
60,8,0,0,8,53,15,350,2007
61,44,1,0,45,86,52,1128,2007
62,184,91,4,279,1744,16,13177,2007
63,12,8,0,20,224,9,1707,2007
64,24,4,0,28,250,11,1793,2007
65,48,25,8,81,597,14,4334,2007
66,32,3,0,35,193,18,1605,2007
67,16,2,0,18,80,23,645,2007
68,29,8,4,41,328,13,2295,2007
681,17,0,8,25,238,11,1837,2007
682,0,0,0,0,4,0,20,2007
69,4,0,0,4,71,6,735,2007
691,0,0,0,0,4,0,39,2007
70,81,47,12,140,714,20,5425,2007
71,75,37,8,120,955,13,6861,2007
711,32,38,8,78,369,21,2958,2007
72,8,12,0,20,171,12,1297,2007
73,40,4,0,44,221,20,2112,2007
74,38,24,0,62,598,10,4641,2007
741,13,0,0,13,56,23,397,2007
75,22,17,4,43,510,8,3503,2007
751,29,0,0,29,274,11,1873,2007
76,58,0,4,62,218,28,1914,2007
77,24,8,4,36,568,6,3946,2007
771,12,0,0,12,82,15,441,2007
78,65,12,4,81,568,14,4078,2007
79,4,0,0,4,147,3,982,2007
791,0,0,0,0,8,0,31,2007
80,54,12,0,66,792,8,5773,2007
81,64,29,17,110,837,13,6129,2007
82,26,4,0,30,276,11,1580,2007
83,17,13,0,30,140,21,881,2007
84,4,5,0,9,78,12,672,2007
85,60,4,0,64,457,14,3446,2007
851,18,4,0,22,115,19,658,2007
86,17,22,0,39,402,10,3083,2007
861,4,4,0,8,43,19,214,2007
87,0,0,0,0,12,0,84,2007
88,0,4,0,4,4,100,20,2007
99,0,0,0,0,8,0,47,2007
101,0,0,0,0,4,0,43,2007
104,2,0,0,2,13,15,105,2007
105,0,0,0,0,4,0,13,2007
106,0,0,0,0,8,0,62,2007
107,0,0,0,0,20,0,117,2007
110,0,0,0,0,4,0,20,2007
112,0,0,0,0,4,0,39,2007
117,0,0,0,0,4,0,8,2007
118,0,0,0,0,4,0,34,2007
120,0,0,0,0,4,0,20,2007
122,0,0,0,0,8,0,41,2007
128,0,0,0,0,33,0,167,2007
133,0,0,0,0,12,0,86,2007
134,4,0,0,4,4,100,16,2007
140,0,0,0,0,84,0,473,2007
141,4,0,0,4,17,24,88,2007
142,0,0,0,0,9,0,36,2007
147,0,0,0,0,4,0,16,2007
1,1,0,0,1,6,17,29,2008
2,6,4,0,10,12,83,132,2008
201,3,0,0,3,8,38,110,2008
3,26,4,0,30,143,21,834,2008
301,4,0,0,4,65,6,309,2008
4,35,14,4,53,390,14,2701,2008
441,24,14,0,38,166,23,1084,2008
5,10,7,8,25,142,18,1146,2008
6,30,15,4,49,388,13,2608,2008
7,31,27,0,58,648,9,4895,2008
8,21,10,0,31,409,8,2697,2008
9,0,0,0,0,77,0,487,2008
10,10,0,0,10,16,63,138,2008
11,16,4,0,20,145,14,1021,2008
211,53,20,0,73,308,24,1838,2008
12,175,16,8,199,655,30,4480,2008
13,8,19,8,35,182,19,1380,2008
131,42,26,0,68,287,24,1617,2008
231,26,23,0,49,364,13,2594,2008
14,69,20,8,97,689,14,4505,2008
214,38,19,4,61,413,15,3236,2008
15,72,16,8,96,823,12,5640,2008
16,27,16,0,43,367,12,2650,2008
161,12,11,0,23,431,5,3092,2008
17,7,12,0,19,321,6,2228,2008
171,8,4,8,20,249,8,1698,2008
18,50,20,0,70,821,9,6177,2008
181,11,0,0,11,170,6,885,2008
19,16,10,10,36,433,8,3397,2008
191,0,0,0,0,106,0,649,2008
20,11,8,0,19,121,16,888,2008
21,69,31,0,100,508,20,4147,2008
22,27,8,0,35,309,11,2352,2008
23,26,4,4,34,289,12,1930,2008
24,46,24,0,70,544,13,3887,2008
25,19,8,0,27,310,9,1821,2008
26,15,20,0,35,344,10,2383,2008
27,18,8,0,26,364,7,2250,2008
28,50,7,4,61,607,10,4676,2008
29,5,2,0,7,38,18,403,2008
30,19,7,4,30,191,16,1207,2008
31,23,4,0,27,163,17,1122,2008
32,26,8,0,34,348,10,2492,2008
33,86,26,4,116,565,21,5131,2008
34,34,7,4,45,353,13,2735,2008
35,19,11,4,34,265,13,1549,2008
36,20,16,4,40,562,7,3593,2008
37,24,19,0,43,522,8,3678,2008
371,11,8,0,19,308,6,1937,2008
38,36,8,4,48,451,11,3092,2008
39,20,3,3,26,115,23,1020,2008
391,5,0,0,5,38,13,297,2008
40,60,5,0,65,111,59,1010,2008
41,31,0,7,38,300,13,2150,2008
411,12,4,0,16,150,11,711,2008
42,30,28,4,62,658,9,4497,2008
421,68,34,0,102,749,14,5120,2008
43,58,15,0,73,679,11,4860,2008
44,46,4,4,54,446,12,2966,2008
444,46,4,8,58,432,13,2897,2008
45,27,8,0,35,434,8,3472,2008
46,11,0,0,11,78,14,701,2008
461,4,0,0,4,52,8,456,2008
47,38,4,0,42,248,17,1640,2008
471,4,8,0,12,72,17,382,2008
48,8,0,0,8,151,5,1468,2008
481,13,2,0,15,94,16,919,2008
49,25,9,5,39,192,20,1727,2008
50,0,0,0,0,92,0,771,2008
500,9,8,0,17,131,13,1205,2008
501,17,4,0,21,100,21,1000,2008
51,6,3,0,9,87,10,852,2008
511,28,8,0,36,547,7,4027,2008
52,8,11,0,19,311,6,1983,2008
521,63,49,12,124,736,17,5235,2008
53,50,34,0,84,604,14,3914,2008
54,37,15,8,60,792,8,5439,2008
55,54,56,4,114,1078,11,7708,2008
551,19,4,0,23,363,6,2722,2008
56,6,8,0,14,120,12,1347,2008
561,4,7,0,11,86,13,663,2008
57,11,2,0,13,75,17,715,2008
58,12,0,0,12,67,18,532,2008
581,8,4,0,12,233,5,1854,2008
59,12,4,0,16,203,8,1203,2008
591,4,0,4,8,88,9,731,2008
60,7,0,0,7,58,12,337,2008
61,46,0,0,46,101,46,1048,2008
62,207,90,4,301,1941,16,15181,2008
63,30,23,4,57,272,21,2228,2008
64,22,0,0,22,194,11,1417,2008
65,61,27,0,88,572,15,3935,2008
66,55,0,0,55,237,23,2049,2008
67,9,0,0,9,83,11,660,2008
68,19,4,4,27,352,8,2502,2008
681,22,4,0,26,290,9,1790,2008
682,0,0,0,0,4,0,20,2008
69,3,0,0,3,69,4,587,2008
691,0,0,0,0,8,0,49,2008
70,84,37,0,121,800,15,5983,2008
71,72,60,0,132,985,13,7082,2008
711,46,19,4,69,393,18,2967,2008
72,0,4,0,4,217,2,2014,2008
73,11,30,0,41,271,15,1879,2008
74,68,15,0,83,746,11,5933,2008
741,4,0,0,4,75,5,528,2008
75,34,19,0,53,757,7,4904,2008
751,23,4,0,27,370,7,2491,2008
76,50,2,0,52,170,31,1543,2008
77,37,19,4,60,534,11,3875,2008
771,4,0,0,4,42,10,310,2008
78,61,16,4,81,610,13,4310,2008
79,12,0,0,12,279,4,1844,2008
80,15,8,0,23,697,3,5253,2008
81,86,42,4,132,919,14,7133,2008
82,23,0,0,23,321,7,1873,2008
83,31,0,4,35,111,32,963,2008
84,23,0,0,23,95,24,818,2008
85,50,8,0,58,499,12,3775,2008
851,26,0,0,26,99,26,668,2008
86,35,8,8,51,444,11,3250,2008
861,0,0,0,0,87,0,670,2008
87,4,0,0,4,11,36,78,2008
88,0,0,0,0,7,0,29,2008
89,0,0,0,0,4,0,16,2008
94,0,0,0,0,4,0,15,2008
99,0,0,0,0,4,0,11,2008
104,1,0,0,1,3,33,15,2008
107,0,4,0,4,4,100,21,2008
110,0,0,0,0,4,0,21,2008
128,4,0,0,4,64,6,341,2008
140,7,0,4,11,39,28,217,2008
1,1,0,0,1,1,100,6,2009
2,7,0,0,7,8,88,120,2009
201,8,0,0,8,8,100,66,2009
3,0,4,0,4,84,5,479,2009
301,7,0,0,7,28,25,175,2009
4,39,20,5,64,331,19,2353,2009
441,13,26,0,39,143,27,888,2009
5,19,15,3,37,155,24,905,2009
6,17,4,0,21,330,6,2263,2009
7,12,4,0,16,417,4,3287,2009
8,46,8,0,54,221,24,1495,2009
9,4,0,0,4,49,8,340,2009
10,10,0,0,10,15,67,197,2009
11,11,3,0,14,112,13,576,2009
211,55,22,0,77,213,36,1284,2009
12,113,27,3,143,567,25,3778,2009
13,8,22,0,30,186,16,1285,2009
131,21,15,4,40,250,16,1726,2009
231,42,20,4,66,374,18,2552,2009
14,85,36,0,121,609,20,4471,2009
214,25,43,0,68,339,20,2329,2009
15,95,30,3,128,728,18,5307,2009
16,25,15,0,40,362,11,2441,2009
161,21,10,0,31,359,9,2905,2009
17,0,4,3,7,243,3,1625,2009
171,3,7,4,14,259,5,1635,2009
18,40,22,0,62,815,8,6000,2009
181,3,0,0,3,153,2,875,2009
19,19,0,0,19,355,5,2754,2009
191,4,0,0,4,61,7,363,2009
20,20,8,0,28,108,26,1075,2009
21,39,12,0,51,356,14,2754,2009
22,33,20,3,56,306,18,2176,2009
23,66,37,7,110,384,29,2579,2009
24,81,7,0,88,497,18,3435,2009
25,23,3,3,29,258,11,1812,2009
26,14,3,0,17,208,8,1486,2009
27,3,7,4,14,266,5,1691,2009
28,36,22,4,62,541,11,3866,2009
29,2,0,0,2,30,7,292,2009
30,15,7,3,25,118,21,646,2009
31,27,3,4,34,174,20,1136,2009
32,25,4,0,29,306,9,1840,2009
33,102,0,0,102,580,18,5251,2009
34,11,3,0,14,258,5,1693,2009
35,11,15,3,29,288,10,1892,2009
36,32,12,0,44,493,9,3365,2009
37,46,26,0,72,414,17,2831,2009
371,3,7,0,10,235,4,1662,2009
38,4,10,0,14,353,4,2391,2009
39,13,2,0,15,79,19,705,2009
391,13,0,0,13,31,42,271,2009
40,49,0,0,49,84,58,833,2009
41,11,11,0,22,266,8,1796,2009
411,11,3,0,14,161,9,1034,2009
42,52,44,0,96,624,15,4125,2009
421,59,60,4,123,639,19,4724,2009
43,42,29,6,77,553,14,3713,2009
44,25,7,3,35,437,8,3184,2009
444,24,3,0,27,294,9,2333,2009
45,38,0,0,38,441,9,3266,2009
46,5,3,0,8,56,14,662,2009
461,14,0,0,14,48,29,449,2009
47,25,4,3,32,210,15,1503,2009
471,4,0,0,4,71,6,571,2009
48,20,6,0,26,145,18,1274,2009
481,18,0,0,18,98,18,837,2009
49,45,5,0,50,178,28,1703,2009
50,9,7,0,16,111,14,833,2009
500,10,5,0,15,126,12,1270,2009
501,12,4,0,16,82,20,791,2009
51,17,3,0,20,86,23,917,2009
511,12,15,7,34,680,5,5656,2009
52,15,7,0,22,275,8,1853,2009
521,77,33,10,120,589,20,4217,2009
53,42,10,7,59,509,12,3541,2009
54,31,29,0,60,660,9,4390,2009
55,46,23,6,75,832,9,5937,2009
551,7,22,3,32,315,10,2418,2009
56,4,10,0,14,118,12,1058,2009
561,4,0,0,4,95,4,1007,2009
57,16,0,0,16,65,25,550,2009
58,9,0,0,9,81,11,775,2009
581,8,11,0,19,289,7,2062,2009
59,0,7,3,10,179,6,1301,2009
591,4,0,0,4,51,8,542,2009
60,11,4,0,15,60,25,437,2009
61,41,0,0,41,81,51,893,2009
62,133,106,3,242,1705,14,13489,2009
63,28,7,3,38,281,14,2543,2009
64,10,0,0,10,136,7,876,2009
65,62,14,0,76,636,12,4222,2009
66,30,5,0,35,167,21,1413,2009
67,8,1,0,9,62,15,579,2009
68,7,3,0,10,310,3,2385,2009
681,11,0,0,11,230,5,1860,2009
69,9,0,0,9,53,17,482,2009
691,0,4,0,4,26,15,144,2009
70,68,52,13,133,793,17,5621,2009
71,52,55,0,107,911,12,6836,2009
711,38,17,0,55,357,15,2952,2009
72,10,0,3,13,151,9,1165,2009
73,10,22,0,32,248,13,2182,2009
74,35,38,7,80,578,14,4336,2009
741,7,3,3,13,65,20,436,2009
75,22,14,4,40,637,6,4368,2009
751,29,4,3,36,330,11,2298,2009
76,26,0,0,26,138,19,1161,2009
77,31,15,0,46,548,8,4434,2009
771,0,0,0,0,70,0,440,2009
78,65,17,0,82,768,11,5813,2009
79,20,0,0,20,156,13,1112,2009
80,42,17,3,62,657,9,5139,2009
81,47,35,3,85,933,9,6623,2009
82,22,8,4,34,338,10,2283,2009
83,17,3,0,20,96,21,604,2009
84,17,0,0,17,89,19,812,2009
85,80,7,0,87,553,16,3830,2009
851,2,0,0,2,97,2,828,2009
86,18,18,3,39,508,8,3779,2009
861,3,0,0,3,55,5,454,2009
88,0,0,0,0,7,0,52,2009
89,0,0,0,0,3,0,20,2009
91,0,0,0,0,14,0,138,2009
92,0,0,0,0,3,0,23,2009
94,0,0,0,0,3,0,17,2009
99,0,0,0,0,3,0,34,2009
101,0,0,0,0,14,0,108,2009
103,0,0,0,0,21,0,122,2009
104,0,0,0,0,10,0,59,2009
106,0,0,0,0,10,0,54,2009
107,0,0,0,0,35,0,147,2009
110,0,0,0,0,8,0,38,2009
115,0,0,0,0,4,0,18,2009
116,0,0,0,0,3,0,17,2009
117,0,0,0,0,3,0,7,2009
118,0,0,0,0,11,0,40,2009
121,3,0,0,3,7,43,18,2009
122,3,0,0,3,3,100,13,2009
123,0,0,0,0,3,0,17,2009
125,0,0,0,0,3,0,10,2009
128,0,0,0,0,30,0,185,2009
133,3,0,0,3,14,21,62,2009
134,7,0,0,7,17,41,81,2009
135,0,0,0,0,4,0,4,2009
140,3,0,0,3,67,4,420,2009
141,0,3,0,3,7,43,20,2009
143,0,0,0,0,7,0,34,2009
144,0,0,0,0,7,0,34,2009
147,0,0,0,0,4,0,4,2009
1,0,0,0,0,2,0,24,2010
2,10,0,0,10,12,83,128,2010
201,5,0,0,5,6,83,90,2010
3,4,0,0,4,72,6,527,2010
301,0,0,0,0,23,0,143,2010
4,27,23,4,54,292,18,2224,2010
441,37,22,4,63,203,31,1266,2010
5,29,7,0,36,188,19,1230,2010
6,36,4,4,44,455,10,3046,2010
7,32,10,0,42,366,11,3014,2010
8,3,10,0,13,427,3,3493,2010
9,3,0,0,3,32,9,142,2010
10,8,0,0,8,13,62,194,2010
11,22,11,0,33,200,17,1224,2010
211,79,25,0,104,288,36,1992,2010
12,111,35,0,146,586,25,4168,2010
13,47,15,0,62,225,28,1445,2010
131,22,24,0,46,359,13,2286,2010
231,33,22,0,55,551,10,3488,2010
14,97,23,11,131,1067,12,7466,2010
214,46,23,4,73,380,19,2391,2010
15,64,44,0,108,868,12,6301,2010
16,41,8,12,61,521,12,3550,2010
161,15,16,0,31,485,6,3567,2010
17,34,4,0,38,273,14,1488,2010
171,4,8,0,12,309,4,2072,2010
18,53,28,0,81,958,8,6937,2010
181,15,4,0,19,172,11,1203,2010
19,13,0,0,13,228,6,1724,2010
191,0,0,0,0,66,0,430,2010
20,18,5,2,25,78,32,600,2010
21,58,24,0,82,468,18,3431,2010
22,49,19,0,68,361,19,2439,2010
23,64,24,4,92,411,22,2343,2010
24,70,0,0,70,497,14,3545,2010
25,12,8,0,20,332,6,2098,2010
26,15,16,0,31,353,9,2197,2010
27,0,8,0,8,371,2,2510,2010
28,50,24,4,78,925,8,6783,2010
